"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"1","Department of Health and Social Care (excl. agencies)",NA,NA,"Getting the organisation to adopt a data science platform that allows git etc.",NA,NA
"4","Cabinet Office (excl. agencies)","My work is mostly very ad hoc analysis of a wide range of data sets - RAP isn't a proportionate use of time.",NA,NA,NA,NA
"5","Government Digital Service",NA,NA,NA,"team culture and standards, as opposed to 'I do this' or 'my team does this' - are you/they doing it incidentally or within a standards regime?","(at least) awareness of coding should be a mandatory skill in analytical roles"
"6","Home Office (excl. agencies)",NA,NA,"Pointers/links or a library of coding style guidelines.","Maybe something more about use of AWS and the stuff that it provides or other cloud solutions (e.g. Azure)",NA
"7","Government Digital Service","We don't produce statistics, so RAP is not something we use.",NA,NA,NA,NA
"9","Other",NA,"Difficult to implement in my team as very few have the technical knowledge to use these practices","Training for all levels to show the benefits and also enough support for someone taking over the RAP champion role",NA,NA
"13","Department for Transport (excl. agencies)",NA,NA,"Go back to the start and show off examples slowly",NA,NA
"15","Department for Transport (excl. agencies)","My role does not include any RAP, that is handled by other data scientists in the team.",NA,NA,"No",NA
"20","Department for Transport (excl. agencies)","The definition of what a RAP is isn't clear. The initial push was to move to R and automate publications but is automating any process in any programme classed as a RAP? If so that means many processes are already RAP-ed but there is still push to change processes which seems counter intuitive.",NA,"Clear guidance as to what elements are important in RAP, data processes or automated publications? What software are we expected to use or is this down to us? Give example code for people to look at, different ways of working are hindered when learning is expected to be done through presentations only.",NA,NA
"21","Welsh Government",NA,NA,"access to the right software and coding platforms.",NA,NA
"22","Ministry of Justice (excl. agencies)",NA,NA,"Courses on programming style (how to write good functions)",NA,NA
"23","Department for Transport (excl. agencies)",NA,"The practices need to be explained in plain english. As I am self-taught, I probably know the practices you are talking about, but don't know the official titles.","Individual accounts and access to online modular sites i.e. DataCamp. Time to code - time to get it wrong and fix it. Colleagues/ expert support when really stuck.","Ease of using programming on IT systems. AQuestions and examples about best practise etc.","Please simplify and explain all terms."
"25","Northern Ireland Statistics and Research Agency",NA,NA,"Training on demand and not when it suits to get a group of people in a (virtual) room, practical one-to-one assistance and troubleshooting.",NA,NA
"26","Department for Business, Energy and Industrial Strategy (excl. agencies)","I've only done one off analyses rather than RAP worthy work so far, but I'd use RAP if we had production work or produced regular statistics.","I mostly don't use Git and other good practices because these were only just being introduced where I work when I went on extended sickness absence. I hope to implement the new practices when I return later this month.","We have plenty of support available in BEIS. ",NA,"The bigger issues are persuading top of the office to take data curation across the department seriously, not just by analysts."
"27","Department for Transport (excl. agencies)",NA,NA,"Legacy expertise",NA,NA
"28","Department for Transport (excl. agencies)",NA,NA,"Time and resourcing to pursue RAP. Most of the time, projects are there - but we are just too busy to implement them. Or, the current process is very resource intensive. RAPping this would solve this unfortunately!",NA,NA
"29","Northern Ireland Statistics and Research Agency",NA,NA,"not sure","no",NA
"31","Department for Transport (excl. agencies)",NA,NA,"Software Updates - moving Rstudio from Citrix to laptops/clouds, allow to use GitHub from work laptops","The percentage of time spent on coding. 
Main obstacles while coding.",NA
"32","Department of Health and Social Care (excl. agencies)",NA,NA,"training",NA,NA
"33","Other",NA,NA,"example code or one-to-one help to develop code relevant to work stream","no","I think it is becoming more common to need to know code to effectively and efficiently carry out your job role in statistics. The younger generation coming in will develop this a lot too, to the point where it is essential knowledge."
"37","Northern Ireland Statistics and Research Agency",NA,NA,"Don't need to code in current role although I am interested. ","No","N/A"
"38","Department for Transport (excl. agencies)","I don't feel supported as my team doesn't have enough time for development projects such as RAP. Although I have coding projects in progress, it can be difficult to make progress when my workload is excessive.","I would really like some training on how to use Git for version control. I know it's something I should be doing but I've never had any training on it, and due to security restrictions I'm not sure online tutorials would be applicable to my department's systems.","Training on specific tools, time set aside for development projects. As a self-taught coder it would also be helpful to get a sense of how long projects take other people - usually I'm learning as I go along, so I find it very difficult to plan timings in advance.","What are the main barriers to coding projects? e.g. time/workload, training, confidence, support from managers.",NA
"39","Department for Transport (excl. agencies)",NA,NA,"better IT infrastructure","not very tailored to more senior roles where coding is no longer a daily requirement",NA
"40","Department for Transport (excl. agencies)",NA,NA,"An unlocked laptop - security on the normal laptops are extremely restrictive, and inhibit good code practices like version control.",NA,NA
"41","Department for Transport (excl. agencies)","I know what RAP is but I it does not seem to play a role in my team. ",NA,NA,NA,NA
"43","Department for Transport (excl. agencies)",NA,"My team code, i've never had time to learn so most of this doesn't make sense to me","the team are fine and very capable of implementing RAP",NA,"It's all well and good talking about coding, but i just don't have time to learn, i can go on training courses, go to conferences til the cows come home but if i don't have time to sit down and learn to code then there's no point. the revolution came too late for me and i've always been too busy I've tried blocking out my calendar, i've tried learning it in my own time. no good. "
